codLocaleProgetto,ocStatoProgetto,ocCodCategoriaSpesa,longitude,latitude,codTemaSintetico
R20460,In corso,13,12.6528061,45.9680876,4
R21881,In corso,13,12.6100255,45.9578457,4
R21882,Concluso,13,13.2136704,46.1006287,4
R21883,In corso,13,13.3438911,46.1525132,4
R21884,In corso,13,12.7147862,45.8809815,4
R21885,In corso,13,13.5265712,46.1221004,4
R21888,In corso,13,13.2321827,46.0693034,4
R21889,Concluso,13,12.7354073,45.9281465,4
R21890,In corso,13,13.0689834,46.1849506,4
R21891,In corso,13,12.6544986,46.1543648,4
FR21893,In corso,13,13.2992647,46.0312254,4
FR21895,Concluso,13,12.5626761,45.9783257,4
FR21896,In corso,13,13.1069625,46.0157471,4
FR21897,In corso,13,13.7685023,45.6494048,4
FR21898,In corso,13,13.3096051,45.9046868,4
FR21899,Concluso,13,12.9057672,46.1121214,4
FR27348,In corso,13,13.488507,46.1294434,4
FR27349,In corso,13,13.1945064,46.4043603,4
FR27350,In corso,13,12.5778929,46.0717427,4
FR27351,In corso,13,12.7634581,46.1892737,4
FR27352,In corso,13,12.83527,46.1717972,4
FR27353,In corso,13,13.0146942,46.5299641,4
FR27354,In corso,13,13.0099569,46.4053791,4
FR27355,In corso,13,12.7121691,46.1719029,4
FR28191,In corso,13,13.7994571,45.6565618,4
FR28194,In corso,13,13.7810595,45.6493858,4
FR31034,In corso,13,13.7849347,45.6471357,4
FR31035,In corso,13,13.202279,45.8355331,4
FR31036,In corso,13,13.219088,46.2178619,4
FR31037,Non avviato,13,12.9933716,45.9626784,4
FR31038,In corso,13,13.3076681,45.904121,4
FR31039,In corso,13,13.4352889,46.0868483,4
FR31040,In corso,13,13.7685023,45.6494048,4
FR31041,In corso,13,13.7532769,45.681357,4
FR31042,In corso,13,12.926,45.86302,4
FR31043,In corso,13,13.0026136,45.7679587,4
FR31044,In corso,13,13.3006646,46.0157567,4
FR31045,In corso,13,13.3931858,45.6798299,4
FR31046,In corso,13,12.6789398,45.9621168,4
FR31047,In corso,13,13.2393547,46.0691172,4
FR31048,In corso,13,13.3601241,45.8688546,4
FR31049,In corso,13,12.6788122,46.0363844,4
FR31050,In corso,13,13.2046189,46.1614789,4
FR33390,In corso,94,13.6214816,45.9413075,6
FR33452,Non avviato,94,13.6275982,45.9428158,6
FR34214,In corso,13,12.9003943,46.1132165,4
FR35244,In corso,94,13.2345396,46.0628617,6
FR39012,In corso,90,12.6597137,45.9564759,5
FR41279,Concluso,13,13.7810595,45.6493858,4
FR43270,In corso,13,13.472125,46.511157,4
FR43272,In corso,13,12.99833,45.77389,4
FR43273,In corso,13,12.975035,46.179808,4
FR43275,In corso,13,13.2208483,46.0693527,4
FR43277,Concluso,13,13.30332,46.50659,4
FR43278,In corso,13,13.2144864,46.0983931,4
FR43280,In corso,13,13.0544002,45.9436894,4
FR43281,In corso,13,13.0116102,46.4073428,4
FR43282,In corso,13,13.5628116,45.8844279,4
FR43285,In corso,13,13.439218,45.8606875,4
FR43287,In corso,13,12.927883,45.8598732,4
FR43288,In corso,13,13.336737,46.0175864,4
FR43289,In corso,13,12.705307,45.988137,4
FR43290,In corso,13,13.8061267,45.6417047,4
FR43291,In corso,13,12.8380637,45.9568489,4
FR43292,In corso,13,12.9651795,46.2248925,4
FR43295,In corso,13,13.0027522,46.1507742,4
FR43297,In corso,13,13.33973,45.9437354,4
FR43299,In corso,13,13.305888,46.188266,4
FR43300,In corso,13,12.9930099,46.0878743,4
FR53847,In corso,13,12.8040366,46.4138706,4
FR53849,In corso,13,13.60352,46.51169,4
FR1000000972,Non avviato,87,13.7726261,45.637031,5
FR1000000973,In corso,87,12.3129032,45.4317518,5
FR1000000974,In corso,87,13.7710937,45.6517907,5
FR1000000975,In corso,87,13.7613497,45.6449849,5
FR1000000991,In corso,13,13.7891431,45.6393566,4
FR1000000992,In corso,13,13.7756878,45.6510075,4
FR1000000993,In corso,13,12.5637416,45.6296771,4
FR1000000997,In corso,94,12.1319558,45.4371158,6
FR1000000998,In corso,94,12.2390166,45.4824397,6
FR1000001000,Non avviato,94,12.644043,45.9919242,6
FR1000001005,In corso,95,13.7710937,45.6517907,6
FR1000001006,Non avviato,95,11.8733596,45.4133773,6
FR1000001007,In corso,95,13.7734236,45.6557972,6
FR1000001009,In corso,91,12.2388745,45.4942971,6
FR1000001011,Non avviato,91,13.2136444,46.0809952,6
FR1000001013,In corso,91,13.8022618,45.6603562,6
FR1000001014,In corso,86,13.10791,46.17745,5
FR1000001017,In corso,86,12.4394697,46.2862806,5
FR1000001019,Non avviato,86,13.2136444,46.0809952,5
FR1000001020,In corso,85,12.2494149,45.4804641,5
FR1000001022,In corso,85,12.6114984,45.9580006,5
FR1000001023,In corso,85,13.829255,45.6569337,5
FR1000001026,In corso,90,12.8348749,45.7802262,5
FR1000001027,In corso,90,13.5322884,45.8094606,5
FR1000001030,In corso,19,12.6352727,45.9919069,5
FR1000001031,In corso,19,12.766243,45.8630367,5
FR1000001032,Liquidato,19,13.7947708,45.6888668,5
FR1000001054,In corso,87,12.2529853,45.4714996,5
FR1000001056,Liquidato,87,13.783703,45.6554329,5
3FR1000001057,Non avviato,87,13.7932365,45.6585478,5
3FR1000001108,In corso,13,13.5399054,45.8444364,4
3FR1000001111,In corso,13,13.4234769,45.9170766,4
3FR1000001112,In corso,13,13.7806615,45.6549799,4
3FR1000001153,In corso,85,13.6154633,45.9423984,5
3FR1000001165,In corso,85,13.829255,45.6569337,5
3FR1000001751,In corso,12,13.7764187,45.6534764,4
3FR1000001761,In corso,85,12.327885,45.4450643,5
3FR1000001762,In corso,85,13.7741379,45.6566156,5
3FR1000001763,In corso,85,13.2319175,46.0794223,5
3FR1000001764,In corso,85,13.6236247,45.9438811,5
3FR1000001765,In corso,85,13.5000342,45.8054522,5
3FR1000001766,In corso,85,12.2530468,45.4780643,5
3FR1000001767,In corso,85,12.9540407,45.6392346,5
3FR1000001776,In corso,12,13.7932365,45.6585478,4
3FR1000001777,In corso,12,13.8278938,45.6581811,4
3FR1000001778,In corso,12,12.2535509,45.4848385,4
3FR1000001787,In corso,12,12.2551185,45.4715877,4
3FR1000001788,In corso,12,12.3211086,45.4371522,4
3FR1000001794,In corso,94,13.7800109,45.6543154,6
3FR1000001795,In corso,94,12.327885,45.4450643,6
3FR1000001797,In corso,94,13.77366,45.65387,6
3FR1000001798,In corso,94,13.7783769,45.6541959,6
3FR1000001801,In corso,94,12.5488199,46.55985,6
3FR1000001802,In corso,94,12.8348749,45.7802262,6
3FR1000001803,In corso,85,12.33547,45.4405,5
3FR1000001804,In corso,85,12.2535509,45.4848385,5
3FR1000001805,In corso,85,13.7741379,45.6566156,5
3FR1000001806,In corso,85,12.3343865,45.4420334,5
3FR1000001815,In corso,94,12.327885,45.4450643,6
3FR1000001817,In corso,94,12.8348749,45.7802262,6
3FR1000001819,In corso,94,13.3674613,45.8203524,6
3FR1000001821,In corso,94,13.6278111,45.9433269,6
3FR1000001823,In corso,94,12.9779198,46.1769356,6
3FR1000001824,In corso,87,13.3326647,45.9107687,5
3FR1000001829,In corso,87,12.224953,45.4797199,5
3FR1000001830,In corso,87,11.876965,45.4064754,5
3FR1000001831,In corso,87,12.253655,45.4854262,5
3FR1000001833,In corso,19,12.766243,45.8630367,5
3FR1000001834,In corso,19,13.7947708,45.6888668,5
3FR1000002242,In corso,94,12.3218485,45.4348042,6
3FR1000002244,In corso,94,12.0988917,45.521642,6
3FR1000002245,In corso,94,13.7698941,45.6506274,6
3FR1000002246,In corso,94,13.1401466,46.1665232,6
3FR33637,In corso,85,13.6177769,45.9443124,5
3TO10360.14072017.115000002_1002,In corso,13,11.0199674,43.7297768,4
3TO10360.14072017.115000006_1007,In corso,13,11.8698867,43.4581891,4
3TO10360.14072017.115000009_1010,In corso,13,10.7729481,43.8839964,4
3TO10360.14072017.115000010_1011,In corso,13,10.8147137,43.8724435,4
3TO10360.14072017.115000012_1013,In corso,13,11.1822382,43.7580964,4
3TO10360.14072017.115000013_1014,In corso,13,11.2385135,44.0031504,4
3TO10360.14072017.115000015_1016,In corso,13,10.8880899,43.0504537,4
3TO10360.14072017.115000016_1017,In corso,13,11.096593,43.8805965,4
3TO10360.14072017.115000017_1018,Non avviato,13,10.6924634,43.5598594,4
3TO10360.14072017.115000018_1019,In corso,13,11.6127635,44.0756719,4
3TO10360.14072017.115000019_1020,In corso,13,11.8184593,43.2523317,4
3TO10360.14072017.115000020_1021,In corso,13,11.4885117,43.5219187,4
3TO10360.14072017.115000021_1022,In corso,13,11.4885117,43.5219187,4
3TO10360.14072017.115000022_1023,In corso,13,11.4885117,43.5219187,4
3TO10360.14072017.115000023_1024,In corso,13,11.2188668,43.3929975,4
3TO10360.14072017.115000025_1026,In corso,13,9.940864,44.2062087,4
3TO10360.14072017.115000026_1027,In corso,13,10.6156838,43.6827837,4
3TO10360.14072017.115000027_1028,In corso,13,11.096593,43.8805965,4
3TO10360.14072017.115000029_1030,Non avviato,13,10.4013088,43.7154909,4
3TO10360.14072017.115000031_1032,In corso,13,11.5378347,42.8932027,4
3TO10360.14072017.115000034_1035,In corso,13,11.096593,43.8805965,4
3TO10360.14072017.115000035_1036,In corso,13,11.198585,43.832125,4
3TO10360.14072017.115000039_1040,Non avviato,13,11.725215,43.331406,4
3TO10360.14072017.115000042_1044,In corso,13,10.1409703,44.0365646,4
3TO10360.14072017.115000043_1045,In corso,13,10.5269309,42.9219579,4
3TO10360.14072017.115000044_1046,In corso,13,11.7718903,43.1667479,4
3TO10360.14072017.115000047_1048,In corso,13,10.5485498,43.6765056,4
3TO10360.14072017.115000048_1050,In corso,13,10.5485498,43.6765056,4
3TO10360.14072017.115000049_1051,In corso,13,10.5485498,43.6765056,4
